pakketnummer,pakketnaam,pokon,doosnummers
41.2p,Bamboe Fargesia XL C2 x2,ja,3
41.3,Bamboe Fargesia Medium C1 x2,nee,8
41.3p,Bamboe Fargesia Medium C1 x2,ja,8
41.4,Bamboe Fargesia Medium C1 x4,nee,9
41.4p,Bamboe Fargesia Medium C1 x4,ja,9
44.1,Paeonia lactiflora Red x3,nee,15
44.1p,Paeonia lactiflora Red x3,ja,14 + 15
44.2,Paeonia lactiflora Red x6,nee,14
44.2p,Paeonia lactiflora Red x6,ja,2
44.3,Paeonia lactiflora Mix x3,nee,15
44.3p,Paeonia lactiflora Mix x3,ja,14 + 15
44.4,Paeonia lactiflora Mix x6,nee,14
44.4p,Paeonia lactiflora Mix x6,ja,2
44.5,Paeonia lactiflora Roze x 3,nee,15
44.5p,Paeonia lactiflora Roze x 3,ja,14 + 15
44.6,Paeonia lactiflora Roze x 6,nee,14
44.6p,Paeonia lactiflora Roze x 6,ja,2
44.7,Paeonia lactiflora Wit x 3,nee,15
44.7p,Paeonia lactiflora Wit x 3,ja,14 + 15
44.8,Paeonia lactiflora Wit x 6,nee,14
44.8p,Paeonia lactiflora Wit x 6,ja,2
50.1,Nandina Domestica Obsessed x1,nee,3
50.1p,Nandina Domestica Obsessed x1,ja,3
50.2,Nandina Domestica Obsessed x2,nee,3
50.2p,Nandina Domestica Obsessed x2,ja,3
52.1,Pennisetum alap. 'Hameln x4,nee,1
52.1p,Pennisetum alap. 'Hameln x4,ja,14
52.2,Pennisetum alap. 'Hameln x8,nee,2
52.2p,Pennisetum alap. 'Hameln x8,ja,12
53.1,Imperata cyl. 'Red Baron' x4,nee,1
53.1p,Imperata cyl. 'Red Baron' x4,ja,14
53.2,Imperata cyl. 'Red Baron' x8,nee,2
53.2p,Imperata cyl. 'Red Baron' x8,ja,12
54.1,Liriope muscari x4,nee,1
54.1p,Liriope muscari x4,ja,14
54.2,Liriope muscari x8,nee,2
54.2p,Liriope muscari x8,ja,12
55.1,Festuca glauca 'Elija Blue' x4,nee,1
55.1p,Festuca glauca 'Elija Blue' x4,ja,14
55.2,Festuca glauca 'Elija Blue' x8,nee,2
55.2p,Festuca glauca 'Elija Blue' x8,ja,12
56.1,Grassen Mix Premium x8,nee,2
56.1p,Grassen Mix Premium x8,ja,12
56.2,Grassen Mix Excellent x8,nee,2
56.2p,Grassen Mix Excellent x8,ja,12
56.3,"Grassen Mix x4 (Stipa, Pen., Imperata, Festuca)",nee,1
56.3p,"Grassen Mix x4 (Stipa, Pen., Imperata, Festuca)",ja,14
56.4,"Grassen Mix x8 (Stipa, Pen., Imperata, Festuca)",nee,2
56.4p,"Grassen Mix x8 (Stipa, Pen., Imperata, Festuca)",ja,12
57.1,Miscanthus sin. 'Kleine Silbersp.' x 1,nee,11
57.1p,Miscanthus sin. 'Kleine Silbersp.' x 1,ja,11
57.2,Miscanthus sin. 'Red Chief' x 1,nee,11
57.2p,Miscanthus sin. 'Red Chief' x 1,ja,11
57.3,Miscanthus sin. 'Zebrinus' x 1,nee,11
57.3p,Miscanthus sin. 'Zebrinus' x 1,ja,11
58.1,Pennisetum al. 'Hameln' x 1,nee,11
58.1p,Pennisetum al. 'Hameln' x 1,ja,11
58.2,Pennisetum al. 'Hameln' x 2,nee,11
58.2p,Pennisetum al. 'Hameln' x 2,ja,11
60.1,Ilex meserveae 'Blue Maid' x 3,nee,15
60.1p,Ilex meserveae 'Blue Maid' x 3,ja,14 + 15
60.2,Ilex meserveae 'Blue Maid' x 6,nee,14
60.2p,Ilex meserveae 'Blue Maid' x 6,ja,2
61.1,Ilex aquifolium 'Argentea Marginata' x 3,nee,15
61.1p,Ilex aquifolium 'Argentea Marginata' x 3,ja,14 + 15
61.2,Ilex aquifolium 'Argentea Marginata' x 6,nee,14
61.2p,Ilex aquifolium 'Argentea Marginata' x 6,ja,2
62.1,Prunus lusitanica 'Angustifolia' x 3,nee,15
62.1p,Prunus lusitanica 'Angustifolia' x 3,ja,14 + 15
62.2,Prunus lusitanica 'Angustifolia' x 6,nee,14
62.2p,Prunus lusitanica 'Angustifolia' x 6,ja,2
63.1,Evergreen Mix x 4,nee,1
63.1p,Evergreen Mix x 4,ja,14
63.2,Evergreen Mix x 8,nee,2
63.2p,Evergreen Mix x 8,ja,12
64.1,Elaeagnus ebbingei x 3,nee,15
64.1p,Elaeagnus ebbingei x 3,ja,14 + 15
64.2,Elaeagnus ebbingei x 6,nee,14
64.2p,Elaeagnus ebbingei x 6,ja,2
70.1,Azalea Paars x 3,nee,15
70.1p,Azalea Paars x 3,ja,14 + 15
70.2,Azalea Rood x 3,nee,15
70.2p,Azalea Rood x 3,ja,14 + 15
70.3,Azalea Roze x 3,nee,15
70.3p,Azalea Roze x 3,ja,14 + 15
70.4,Azalea Wit x 3,nee,15
70.4p,Azalea Wit x 3,ja,14 + 15
70.5,Azalea Mix x 4,nee,1
70.5p,Azalea Mix x 4,ja,14
70.6,Azalea Mix x 8,nee,2
70.6p,Azalea Mix x 8,ja,12
70.7,Azalea Rood x 6,nee,14
70.7p,Azalea Rood x 6,ja,2
70.8,Azalea Roze x 6,nee,14
70.8p,Azalea Roze x 6,ja,2
70.9,Azalea Wit x 6,nee,14
70.9p,Azalea Wit x 6,ja,2
70.10,Azalea Mix x 3,nee,15
70.10p,Azalea Mix x 3,ja,14 + 15
70.11,Azalea Mix x 6,nee,14
70.11p,Azalea Mix x 6,ja,2
70.12,Azalea Paars x 6,nee,14
70.12p,Azalea Paars x 6,ja,2
71.0,Rhododendron 'Cunningham's White' x 3,nee,15
71.0p,Rhododendron 'Cunningham's White' x 3,ja,14 + 15
71.1,Rhododendron 'Cunningham's White' x 6,nee,14
71.1p,Rhododendron 'Cunningham's White' x 6,ja,2
71.2,Rhododendron 'Roseum Elegans' x 3,nee,15
71.2p,Rhododendron 'Roseum Elegans' x 3,ja,14 + 15
71.3,Rhododendron 'Roseum Elegans' x 6,nee,14
71.3p,Rhododendron 'Roseum Elegans' x 6,ja,2
71.4,Rhododendron 'Nova Zembla' x 3,nee,15
71.4p,Rhododendron 'Nova Zembla' x 3,ja,14 + 15
71.5,Rhododendron 'Nova Zembla' x 6,nee,14
71.5p,Rhododendron 'Nova Zembla' x 6,ja,2
71.6,Rhododendron 'Cosmopolitan' x 3,nee,15
71.6p,Rhododendron 'Cosmopolitan' x 3,ja,14 + 15
71.7,Rhododendron 'Cosmopolitan' x 6,nee,14
71.7p,Rhododendron 'Cosmopolitan' x 6,ja,2
71.8,Rhododendron Mix x 4,nee,1
71.8p,Rhododendron Mix x 4,ja,14
71.9,Rhododendron Mix x 8,nee,2
71.9p,Rhododendron Mix x 8,ja,12
72.0,Rhododendron P13 Purple x 3,nee,8
72.0p,Rhododendron P13 Purple x 3,ja,8
72.1,Rhododendron P13 Purple x 6,nee,9
72.1p,Rhododendron P13 Purple x 6,ja,9
72.2,Rhododendron P13 White x 3,nee,8
72.2p,Rhododendron P13 White x 3,ja,8
72.3,Rhododendron P13 White x 6,nee,9
72.3p,Rhododendron P13 White x 6,ja,9
72.4,Rhododendron P13 Red x 3,nee,8
72.4p,Rhododendron P13 Red x 3,ja,8
72.5,Rhododendron P13 Red x 6,nee,9
72.5p,Rhododendron P13 Red x 6,ja,9
